BOR;AN;FI;GRP;FI_EJ;REG;DEP;STJ;STJR;CAT;CATR;ESPIC;MFT;CCR;VAGUE;NAT;SIR;RS;COMPRS;NUMVOI;TYPVOI;ADRVOIENOM;COMPDist;ADRBP;ADRCPOST;ADRLIBCOM;COMINSEE;NUMTEL;ARMT
IDB;2019;010002236;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200223;CMP INFANTO-JUVENILE GUIDANCE;;14;R;DE L'ÉCOLE;;;01000;BOURG EN BRESSE;01053;;
IDB;2019;010002244;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456200678;CATTP AGORA;;;BD;JULES FERRY;3 & 5 BD JULES FERRY;;01000;BOURG EN BRESSE;01053;;
IDB;2019;010002251;35;010783009;84;01;61;3;292;PNL3;6;1;;0;0;77554456200850;HDJ ADULTES;;;;;289 A AVENUE DUBANCHET;;01400;CHATILLON SUR CHALARONNE;01093;;
IDB;2019;010006286;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456200660;CATTP ADULTES FRANCOIS TOSQUELLES;;31;R;DES PLATTES;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2019;010006385;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456200751;CATTP CHATEAU GAILLARD;;;R;JEAN MERMOZ;;;01500;CHATEAU GAILLARD;01089;;
IDB;2019;010007854;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456200777;CATTP ESPLANADE BELLEGARDE;;6;R;JEAN MALET;;;01200;BELLEGARDE SUR VALSERINE;01033;;
IDB;2019;010007862;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456200835;CATTP ENFANTS LES 4 SAISONS;;14;R;DE L'ÉCOLE;;;01000;BOURG EN BRESSE;01053;;
IDB;2019;010007870;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200785;CMPPA;;18;R;DU 23ÈME RI;;;01000;BOURG EN BRESSE;01053;;
IDB;2019;010007896;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200363;CMP ENFANTS FERNEY-VOLTAIRE;;11;R;DE GENEVE;;;01210;FERNEY VOLTAIRE;01160;;
IDB;2019;010007904;35;010783009;84;01;61;3;292;PNL3;6;1;;0;0;;HDJ ADULTES;;284;AV;DE LA GARE;;;01120;MONTLUEL;01262;;
IDB;2019;010007920;35;010783009;84;01;61;3;292;PNL3;6;1;;0;0;77554456201031;HDJ DE CLERAMBAULT;;31;R;DES PLATTES;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2019;010007987;02;;84;01;11;1;355;;1;0;;2;1;;CH PUBLIC HAUTEVILLE;;;;FELIX MANGINI;;BP 41;01110;HAUTEVILLE LOMPNES;01185;;
IDB;2019;010008050;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456201098;CATTP PSY FERNEY-VOLTAIRE;;13;CHE;DU LEVANT;;;01210;FERNEY VOLTAIRE;01160;;
IDB;2019;010008092;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200876;CMP ENFANTS FEILLENS;;179;R;DE LA MOLANDIERE;;;01570;FEILLENS;01159;;
IDB;2019;010008217;35;010783009;84;01;61;3;292;PNL3;6;1;;0;0;77554456200900;HDJ LE BASTION;;4;R;D'ALLEMAGNE;;;01000;BOURG EN BRESSE;01053;;
IDB;2019;010008407;02;;84;01;14;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DU HAUT BUGEY;;;;DE VEYZIAT;;CS 20100;01117;OYONNAX CEDEX;01283;0474731001;
IDB;2019;010008993;35;010783009;84;01;61;3;292;PNL3;6;1;;0;0;;HDJ LA PASSERELLE;;7;AV;MUSCAT;;;01000;BOURG EN BRESSE;01053;;
IDB;2019;010009124;35;010783009;84;01;61;3;412;PNL7;6;9;;0;0;;AT OYONNAX;;;;;;;01100;OYONNAX;01283;;
IDB;2019;010009132;02;;84;01;14;1;355;;1;0;;2;1;;CH INTERCOMMUNAL AIN VAL DE SAONE;;;;PIERRE GOUJON;;BP 68;01290;PONT DE VEYLE;01306;0385362350;
IDB;2019;010009934;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200108;CMP DE REHAB PSYCHIATRIE GENERALE;;;AV;DE MARBOZ;HÔPIATL SAINT-GEORGES;;01012;BOURG EN BRESSE CEDEX;01053;;
IDB;2019;010009942;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456200108;CATTP UAE PSYCHIATRIE GENERALE;;;AV;DE MARBOZ;HÔPITAL SAINT-GEORGES;;01012;BOURG EN BRESSE CEDEX;01053;;
IDB;2019;010009967;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200470;CMP ENFANTS;;289;AV;DUBANCHET;289A;;01400;CHATILLON SUR CHALARONNE;01093;;
IDB;2019;010009983;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456201338;C.A.T.T.P. ESCAL'ADO PSYCHIATRIE INFAN;;6;BD;EDOUARD HERRIOT;;;01000;BOURG EN BRESSE;01053;;
IDB;2019;010009991;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456201197;CATTP PSYCHIATRIE INFANTO-JUVENILE;;60;R;ARISTIDE BRIAND;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2019;010010007;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456201411;C.A.T.T.P. PSYCHIATRIE ADULTES;;;PL;DE LA RÉSISTANCE;1ER ÉTAGE;;01340;MONTREVEL EN BRESSE;01266;;
IDB;2019;010011344;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456201643;CATTP CMP ADULTES HAUTEVILLE;;60;R;DU DOCTEUR MAGNIEN;;;01110;HAUTEVILLE LOMPNES;01185;;
IDB;2019;010011351;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456201643;ANTENNE CMP ADULTES HAUTEVILLE;;60;R;DU DOCTEUR MAGNIEN;;;01110;HAUTEVILLE LOMPNES;01185;;
IDB;2019;010780054;02;;84;01;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER FLEYRIAT;;;;DE PARIS;;CS 90401;01012;BOURG EN BRESSE CEDEX;01053;0474454647;
IDB;2019;010780062;02;;84;01;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DE BELLEY RECAMIER;;;;GEORGES GIRERD;;BP 139;01300;BELLEY;01034;0479425959;
IDB;2019;010780096;02;;84;01;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DE TREVOUX;;;;DE L'HÔPITAL;;CS 70615;01606;TREVOUX CEDEX;01427;0474105000;
IDB;2019;010780112;02;;84;01;13;1;106;;1;0;;1;1;;CENTRE HOSPITALIER DU PAYS DE GEX;;;;MARC PANISSOD;;BP 437;01174;GEX CEDEX;01173;0450403838;
